id,channel,observed_utc,recency,title,url,fit,priority,status,evidence
UW-001,Upwork via Google,2026-07-14,17 hours,"HubSpot Workflow & Form Setup — Points Calculator Lead Routing",https://www.upwork.com/freelance-jobs/apply/HubSpot-Workflow-Form-Setup-Points-Calculator-Lead-Routing_~022076807620668699183/,high,A,qualified,"Existing quiz needs HubSpot form configuration and lead routing"
UW-002,Upwork via Google,2026-07-14,1 day,"HubSpot Expert Needed to Clean Up Duplicate Contacts",https://www.upwork.com/freelance-jobs/apply/HubSpot-Expert-Needed-Clean-Duplicate-Contacts_~022076648785950735169/,high,A,qualified,"Explicit duplicate-contact cleanup in an existing HubSpot CRM"
UW-003,Upwork via Google,2026-07-14,4 days,"HubSpot Consultant for CRM Data Cleanup",https://www.upwork.com/freelance-jobs/apply/HubSpot-Consultant-for-CRM-Data-Cleanup_~022075718008997445349/,medium,A,qualified,"CRM data cleanup; Google result shows $10,000 fixed-price ongoing project"
UW-004,Upwork via Google,2026-07-14,4 days,"HubSpot Automation Specialist — Contract, Urgent (≈2 day build)",https://www.upwork.com/freelance-jobs/apply/HubSpot-Automation-Specialist-Contract-Urgent-day-build_~022075673528354337146/,medium,A,qualified,"Urgent lead-routing and speed-to-lead workflow"
UW-005,Upwork via Google,2026-07-14,5 days,"Data Cleanup And Data Enrichment Specialist For HubSpot CRM",https://www.upwork.com/freelance-jobs/apply/Data-Cleanup-And-Daa-Enrichment-Specialist-For-Hubspot-CRM_~022075111606917722480/,medium,B,qualified,"Cleaning and deduplicating HubSpot data; enrichment exceeds base offer"
UW-006,Upwork via Google,2026-07-14,7 days,"HubSpot Workflow Automation Needed (Follow-Up Sequence Setup)",https://www.upwork.com/freelance-jobs/apply/HubSpot-Workflow-Automation-Needed-Follow-Sequence-Setup_~022074442146418925773/,high,A,qualified,"Simple follow-up workflow for new leads and routing"
UW-007,Upwork via Google,2026-07-14,7 days,"HubSpot CRM Setup & Configuration Expert",https://www.upwork.com/freelance-jobs/apply/HubSpot-CRM-Setup-Configuration-Expert-CRM-Implementation-Pipeline-Workflow-Specialist_~022074418419082919399/,medium,B,qualified,"Lead routing lifecycle updates notifications and follow-up sequences"
UW-008,Upwork via Google,2026-07-14,2026-07-04,"HubSpot CRM Specialist – Setup Pipelines & Automation",https://www.upwork.com/freelance-jobs/apply/HubSpot-CRM-Specialist-Setup-Pipelines-Automation_~022073429219912463888/,medium,B,qualified,"Pipelines lead routing follow-ups and internal notifications"
UW-009,Upwork via Google,2026-07-14,2026-07-03,"HubSpot CRM Specialist Needed for Email Bounce Review & CRM Cleanup",https://www.upwork.com/freelance-jobs/apply/HubSpot-CRM-Specialist-Needed-for-Email-Bounce-Review-CRM-Cleanup_~022073126104986103704/,low,C,qualified,"Explicit cleanup but Google result shows only $10 fixed price"
UW-010,Upwork via Google,2026-07-14,undated,"Looking for a seasoned HubSpot Sales Ops",https://www.upwork.com/freelance-jobs/apply/Looking-for-seasoned-HubSpot-Sales-Ops_~022076938372781356922/,medium,B,qualified,"Round-robin routing across three AEs and seven-stage pipeline"
UW-011,Upwork via Google,2026-07-14,undated,"Data Cleanup Specialist for HubSpot",https://www.upwork.com/freelance-jobs/apply/Data-Cleanup-Specialist-for-Hubspot_~022074927129092354416/,medium,B,qualified,"Data cleanup in HubSpot and other CRM platforms"
UW-012,Upwork via Google,2026-07-14,undated,"HubSpot CRM – Contact & Company Import Cleanup (Short Task)",https://www.upwork.com/freelance-jobs/apply/HubSpot-CRM-Contact-Company-Import-Cleanup-Short-Task_~022068960024029305136/,high,A,qualified,"Small B2B/D2C textile brand needs clean HubSpot import"
UW-013,Upwork via Google,2026-07-14,2026-06-24,"HubSpot CRM Clean-up and Build",https://www.upwork.com/freelance-jobs/apply/HubSpot-CRM-Clean-and-Build_~022069950567913596394/,low,C,qualified,"Cleanup plus real-estate ecosystem build; likely broader than wedge"
